schema,table_name,table_type,approx_rows,rls_enabled
auth,audit_log_entries,BASE TABLE,322,true
auth,users,BASE TABLE,3,true
auth,sessions,BASE TABLE,2,true
auth,refresh_tokens,BASE TABLE,12,true
public,api_rate_limits,BASE TABLE,-1,true
public,app_settings,BASE TABLE,-1,true
public,audit_events,BASE TABLE,-1,true
public,features,BASE TABLE,-1,true
public,invitation_job_tags,BASE TABLE,-1,true
public,invitation_permissions,BASE TABLE,-1,true
public,invitation_roles_locations,BASE TABLE,-1,true
public,invitations,BASE TABLE,-1,true
public,job_tags,BASE TABLE,-1,true
public,location_admins,BASE TABLE,-1,true
public,location_admins_backup,BASE TABLE,-1,false
public,locations,BASE TABLE,-1,true
public,memberships,BASE TABLE,-1,true
public,org_feature_overrides,BASE TABLE,-1,true
public,org_plans,BASE TABLE,-1,true
public,organization_domains,BASE TABLE,-1,true
public,organizations,BASE TABLE,-1,true
public,permission_preset_items,BASE TABLE,44,true
public,permission_presets,BASE TABLE,-1,true
public,permissions,BASE TABLE,32,true
public,plan_features,BASE TABLE,-1,true
public,plans,BASE TABLE,-1,true
public,platform_admins,BASE TABLE,-1,true
public,profiles,BASE TABLE,-1,true
public,role_permission_presets,BASE TABLE,-1,true
public,role_permissions,BASE TABLE,-1,true
public,roles,BASE TABLE,-1,true
public,system_banners,BASE TABLE,-1,true
public,user_job_tags,BASE TABLE,-1,true
public,user_permissions,BASE TABLE,-1,true
public,user_profiles,BASE TABLE,-1,true
public,user_roles_locations,BASE TABLE,-1,true
public,my_accessible_locations,VIEW,-1,N/A
storage,buckets,BASE TABLE,-1,true
storage,objects,BASE TABLE,-1,true
storage,migrations,BASE TABLE,-1,true